Provincia o comarca indigena;Sexo;CategorIa en la actividad econImica;Empleados;Menos de 100;100  -  124;125  -  174;175  -  249;250  -  399;400  -  599;600  -  799;800  -  999;1,000  - 1,499;1,500  - 1,999;2,000  - 2,999;3,000  y mas
Darien;Hombre;Actividades profesionales, cientificas y tecnicas;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Hombre;Actividades de servicios administrativos y de apoyo;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Hombre;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";1312;0;0;0;0;4;0;23;37;25;6;4;0
Darien;Hombre;Ensenanza;616;0;0;0;0;10;0;12;13;7;43;15;0
Darien;Hombre;Servicios sociales y relacionados con la salud;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Hombre;Artes, entretenimiento y creatividad;29;0;0;0;0;100;0;0;0;0;0;0;0
Darien;Hombre;Otras actividades de servicios;85;0;0;0;33;0;0;0;0;67;0;0;0
Darien;Hombre;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Hombre;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Mujer;Agricultura, ganaderia, silvicultura y pesca;358;9;0;6;9;36;27;0;13;0;0;0;0
Darien;Mujer;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Mujer;Industria manufacturera - Articulos no durables;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Mujer;Industria manufacturera - Articulos durables;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Mujer;Suministro de electricidad, gas, vapor y aire acondicionado;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Mujer;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Mujer;Construccion;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Mujer;Comercio al por mayor;205;0;0;0;0;0;37;14;49;0;0;0;0
Darien;Mujer;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";402;0;0;0;13;18;45;16;8;0;0;0;0
Darien;Mujer;Transporte, almacenamiento y correo;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Mujer;Hoteles y restaurantes;471;16;7;7;14;32;24;0;0;0;0;0;0
Darien;Mujer;Informacion y comunicaciones;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Mujer;Actividades financieras y de seguros;123;0;0;0;0;0;19;30;51;0;0;0;0
Darien;Mujer;Actividades inmobiliarias;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Mujer;Actividades profesionales, cientificas y tecnicas;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Mujer;Actividades de servicios administrativos y de apoyo;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Mujer;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";587;0;0;0;0;0;14;29;13;32;5;7;0
Darien;Mujer;Ensenanza;818;0;0;0;6;7;3;12;4;8;52;7;0
Darien;Mujer;Servicios sociales y relacionados con la salud;119;0;0;0;0;0;0;30;39;30;0;0;0
Darien;Mujer;Artes, entretenimiento y creatividad;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Mujer;Otras actividades de servicios;228;13;17;0;0;29;21;0;0;21;0;0;0
Darien;Mujer;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;145;26;30;0;21;23;0;0;0;0;0;0;0
Darien;Mujer;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Herrera;Hombre;Agricultura, ganaderia, silvicultura y pesca;3795;10;8;13;23;25;11;8;3;0;0;0;0
Herrera;Hombre;Explotacion de minas y canteras;62;0;0;0;0;0;0;0;0;0;0;0;100
Herrera;Hombre;Industria manufacturera - Articulos no durables;1089;0;5;0;6;5;7;55;15;0;0;6;0
Herrera;Hombre;Industria manufacturera - Articulos durables;278;0;0;0;0;22;55;23;0;0;0;0;0
Herrera;Hombre;Suministro de electricidad, gas, vapor y aire acondicionado;18;0;0;0;0;0;0;100;0;0;0;0;0
Herrera;Hombre;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";272;0;0;0;0;0;0;12;53;35;0;0;0
Herrera;Hombre;Construccion;2010;1;9;10;4;8;22;22;20;4;0;0;0
Herrera;Hombre;Comercio al por mayor;1284;0;0;3;0;3;2;75;12;0;0;6;0
Herrera;Hombre;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";1511;0;0;1;6;6;18;56;5;4;0;4;0
Herrera;Hombre;Transporte, almacenamiento y correo;484;0;0;0;32;7;36;18;0;6;0;0;0
Herrera;Hombre;Hoteles y restaurantes;576;0;0;0;0;38;22;34;6;0;0;0;0
