Provincia o comarca indigena;Sexo;CategorIa en la actividad econImica;Empleados;Menos de 100;100  -  124;125  -  174;175  -  249;250  -  399;400  -  599;600  -  799;800  -  999;1,000  - 1,499;1,500  - 1,999;2,000  - 2,999;3,000  y mas
Comarca Kuna Yala;Mujer;Agricultura, ganaderia, silvicultura y pesca;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;Industria manufacturera - Articulos no durables;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;Industria manufacturera - Articulos durables;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;Suministro de electricidad, gas, vapor y aire acondicionado;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;Construccion;21;0;0;0;0;100;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;Comercio al por mayor;22;0;0;0;100;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";105;15;31;53;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;Transporte, almacenamiento y correo;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;Hoteles y restaurantes;161;50;11;17;22;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;Informacion y comunicaciones;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;Actividades financieras y de seguros;15;0;0;0;0;0;0;0;100;0;0;0;0
Comarca Kuna Yala;Mujer;Actividades inmobiliarias;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;Actividades profesionales, cientificas y tecnicas;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;Actividades de servicios administrativos y de apoyo;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";15;0;0;0;0;0;0;100;0;0;0;0;0
Comarca Kuna Yala;Mujer;Ensenanza;102;0;0;0;17;0;0;0;0;25;59;0;0
Comarca Kuna Yala;Mujer;Servicios sociales y relacionados con la salud;42;0;48;0;0;0;0;0;0;52;0;0;0
Comarca Kuna Yala;Mujer;Artes, entretenimiento y creatividad;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;Otras actividades de servicios;549;69;15;5;4;4;4;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;24;100;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Mujer;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;Agricultura, ganaderia, silvicultura y pesca;121;64;0;15;13;8;0;0;0;0;0;0;0
Comarca Embera;Hombre;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;Industria manufacturera - Articulos no durables;30;0;0;0;100;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;Industria manufacturera - Articulos durables;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;Suministro de electricidad, gas, vapor y aire acondicionado;20;0;0;0;0;0;0;100;0;0;0;0;0
Comarca Embera;Hombre;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;Construccion;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;Comercio al por mayor;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;Transporte, almacenamiento y correo;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;Hoteles y restaurantes;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;Informacion y comunicaciones;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;Actividades financieras y de seguros;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;Actividades inmobiliarias;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;Actividades profesionales, cientificas y tecnicas;10;0;0;0;0;0;0;0;100;0;0;0;0
Comarca Embera;Hombre;Actividades de servicios administrativos y de apoyo;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";56;0;0;0;0;0;0;16;18;14;34;18;0
Comarca Embera;Hombre;Ensenanza;90;0;0;0;0;0;19;46;0;0;36;0;0
Comarca Embera;Hombre;Servicios sociales y relacionados con la salud;24;0;0;0;0;0;0;71;0;29;0;0;0
Comarca Embera;Hombre;Artes, entretenimiento y creatividad;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;Otras actividades de servicios;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Hombre;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Agricultura, ganaderia, silvicultura y pesca;11;0;100;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Industria manufacturera - Articulos no durables;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Industria manufacturera - Articulos durables;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Suministro de electricidad, gas, vapor y aire acondicionado;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Construccion;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Comercio al por mayor;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";20;50;0;0;0;50;0;0;0;0;0;0;0
Comarca Embera;Mujer;Transporte, almacenamiento y correo;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Hoteles y restaurantes;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Informacion y comunicaciones;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Actividades financieras y de seguros;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Actividades inmobiliarias;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Actividades profesionales, cientificas y tecnicas;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Actividades de servicios administrativos y de apoyo;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";21;0;0;0;0;0;0;52;0;48;0;0;0
Comarca Embera;Mujer;Ensenanza;49;0;0;0;0;0;41;20;0;20;18;0;0
Comarca Embera;Mujer;Servicios sociales y relacionados con la salud;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Artes, entretenimiento y creatividad;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Otras actividades de servicios;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;9;100;0;0;0;0;0;0;0;0;0;0;0
Comarca Embera;Mujer;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Agricultura, ganaderia, silvicultura y pesca;4965;21;16;4;16;35;5;0;2;0;0;0;0
Comarca Ngabe Bugle;Hombre;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Industria manufacturera - Articulos no durables;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Industria manufacturera - Articulos durables;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Suministro de electricidad, gas, vapor y aire acondicionado;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Construccion;1192;13;0;10;26;20;21;10;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Comercio al por mayor;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";620;0;0;0;37;24;18;20;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Transporte, almacenamiento y correo;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Hoteles y restaurantes;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Informacion y comunicaciones;152;0;0;0;0;0;100;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Actividades financieras y de seguros;142;0;0;0;0;100;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Actividades inmobiliarias;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Actividades profesionales, cientificas y tecnicas;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Actividades de servicios administrativos y de apoyo;99;0;0;0;100;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";977;0;0;0;0;0;0;49;0;24;0;26;0
Comarca Ngabe Bugle;Hombre;Ensenanza;1047;0;0;0;0;0;25;0;0;18;45;12;0
Comarca Ngabe Bugle;Hombre;Servicios sociales y relacionados con la salud;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Artes, entretenimiento y creatividad;131;0;0;0;100;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Otras actividades de servicios;114;0;0;100;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;142;0;0;0;0;100;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Hombre;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Agricultura, ganaderia, silvicultura y pesca;431;48;0;0;0;27;25;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Industria manufacturera - Articulos no durables;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Industria manufacturera - Articulos durables;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Suministro de electricidad, gas, vapor y aire acondicionado;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Construccion;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Comercio al por mayor;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";779;0;16;37;0;36;11;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Transporte, almacenamiento y correo;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Hoteles y restaurantes;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Informacion y comunicaciones;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Actividades financieras y de seguros;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Actividades inmobiliarias;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Actividades profesionales, cientificas y tecnicas;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Actividades de servicios administrativos y de apoyo;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";639;0;0;0;0;0;20;62;0;0;18;0;0
Comarca Ngabe Bugle;Mujer;Ensenanza;1254;0;0;0;10;0;19;8;0;28;27;8;0
Comarca Ngabe Bugle;Mujer;Servicios sociales y relacionados con la salud;236;0;0;0;0;0;0;100;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Artes, entretenimiento y creatividad;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Otras actividades de servicios;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;561;0;68;0;18;14;0;0;0;0;0;0;0
Comarca Ngabe Bugle;Mujer;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
